timestamp,open,high,low,close,volume,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,MACD,MACD_Signal,RSI_14,ATR_14
2025-10-26 00:00:00,111646.27,111899.56,111544.15,111715.98,370.92714,,,,111715.98,111715.98,0.0,0.0,,
2025-10-26 01:00:00,111715.98,111835.85,111520.0,111644.42,270.69687,,,,111704.97076923077,111710.67925925925,-5.708490028482629,-1.1416980056965258,,
2025-10-26 02:00:00,111644.41,111687.37,111408.54,111448.85,214.46307,,,,111665.56757396451,111691.28449931412,-25.716925349610392,-6.056743474479299,,
2025-10-26 03:00:00,111448.85,111500.0,111260.45,111260.46,170.69475,,,,111603.24333181613,111659.371573439,-56.12824162286415,-16.07104310415627,,
2025-10-26 04:00:00,111260.46,111479.99,111260.46,111430.4,129.38461,,,,111576.65204999826,111642.41071614722,-65.75866614896222,-26.00856771311746,,
2025-10-26 05:00:00,111430.39,111650.9,111367.19,111615.32,209.94274,,,,111582.60096538314,111640.40399643261,-57.80303104946506,-32.36746038038699,,
2025-10-26 06:00:00,111615.33,111686.65,111548.75,111635.95,156.20448,,,,111590.80850917034,111640.07407077093,-49.26556160059408,-35.747080624428406,,
2025-10-26 07:00:00,111635.96,111724.96,111620.02,111723.98,169.97811,,,,111611.29643083643,111646.28932478791,-34.992893951479346,-35.5962432898386,,
2025-10-26 08:00:00,111723.98,111850.0,111723.98,111776.94,240.40616,,,,111636.7800568616,111655.96715258139,-19.18709571979707,-32.314413775830296,,
2025-10-26 09:00:00,111776.94,112779.81,111708.63,112528.83,1330.29795,,,,111774.01850965212,111720.62365979758,53.394849854536005,-15.172561049757038,,
2025-10-26 10:00:00,112528.82,112571.26,112189.33,112477.1,337.77399,,,,111882.18489278256,111776.65894425703,105.52594852553739,8.967140865301847,,
2025-10-26 11:00:00,112477.11,113466.23,112430.56,113286.09,1079.09408,,,,112098.17029389294,111888.46865208984,209.70164180309803,49.11404105286109,,
2025-10-26 12:00:00,113286.09,113827.02,113279.85,113575.05,1229.55057,,,,112325.38255637095,112013.4006037869,311.9819525840576,101.6876233591004,,
2025-10-26 13:00:00,113575.06,114000.0,113283.8,113711.53,1099.62143,,,,112538.63600923696,112139.18796646934,399.44804276761715,161.23970724080374,83.14812046311556,415.2778571428561
2025-10-26 14:00:00,113711.53,113885.27,113544.02,113575.36,739.58798,,,,112698.13200781588,112245.5710800642,452.5609277516778,219.50395134297858,79.54942756704905,414.26642857142724
2025-10-26 15:00:00,113575.35,113725.48,113425.87,113694.97,437.55153,,,,112851.49169892112,112352.9339630224,498.55773589872115,275.31470825412714,82.09731801006207,413.1064285714269
2025-10-26 16:00:00,113694.97,113761.98,113290.62,113517.53,556.71599,,,,112953.95912985633,112439.20033613185,514.7587937244825,323.20352534819824,82.56594482610973,426.85857142856963
2025-10-26 17:00:00,113517.54,113747.85,113442.12,113442.13,319.42533,,,,113029.06234064768,112513.4914223443,515.570918303376,361.6770039392338,85.61154367236362,431.58571428571304
2025-10-26 18:00:00,113442.14,113793.93,113442.13,113575.15,279.3019,,,,113113.07582670188,112592.13279846695,520.9430282349349,393.530208798374,85.43600453369396,441.0335714285694
2025-10-26 19:00:00,113575.15,113720.63,113503.82,113585.99,204.67267,112561.10149999999,,,113185.83185336314,112665.75185043237,520.080002930772,418.8401676248536,84.5470960503482,436.2549999999984
2025-10-26 20:00:00,113585.98,113585.98,113283.11,113320.8,248.1548,112641.3425,,,113206.59618361497,112714.27393558553,492.3222480294353,433.53658370577,77.20387120524703,448.03928571428486
2025-10-26 21:00:00,113320.8,113590.48,112901.0,113497.06,464.11186,112733.97450000001,,,113251.28292459727,112772.25808850513,479.0248360921396,442.63423418304393,77.83537523469843,489.7921428571416
