timestamp,action,price,position_size,reason,decision_source,cash_before,btc_before,portfolio_value_before,rsi,atr,trend,trade_amount,btc_traded,type,cash_after,btc_after,portfolio_value_after,realized_profit,profit
2025-07-22,SELL,117123.69,8.0,Strong downtrend confirmation,RULES,42277.758880195506,0.5301790768192874,104495.36571383713,33.570177915843075,754.1321428571443,BEARISH,4967.722387029473,0.042414326145542997,SELL,47245.48126722498,0.4877647506737445,104374.28871806392,4962.099957150481,1585.5016766138322
2025-07-28,BUY,119236.72,8.0,Strong uptrend confirmation,RULES,47245.48126722498,0.4877647506737445,104778.30913869449,69.63602963139995,415.3278571428579,BULLISH,3779.6385013779986,0.03169861181503482,BUY,43465.84276584698,0.5194633624887793,105404.95026918006,4962.099957150481,
2025-07-31,SELL,118415.8,10.0,Bearish momentum building,RULES,43465.84276584698,0.5194633624887793,104629.93690551494,53.34167866096353,695.2078571428574,BEARISH,6151.26696397988,0.051946336248877935,SELL,49617.10972982686,0.4675170262399014,104978.51240564577,6766.782644545663,1804.682687395182
2025-08-03,SELL,112956.04,10.0,Bearish momentum building,RULES,49617.10972982686,0.4675170262399014,102831.28618202037,42.31700166097924,628.1414285714283,BEARISH,5280.887191663535,0.04675170262399014,SELL,54897.99692149039,0.42076532361591124,102425.9816464622,7085.958863226512,319.1762186808493
2025-08-04,BUY,114899.87,20.0,short,AI,54897.99692149039,0.42076532361591124,102425.9816464622,73.82164026912122,389.4021428571411,BEARISH,10979.599384298079,0.09555797917176129,BUY,43918.397537192315,0.5163233027876726,103243.87790546654,7085.958863226512,
2025-08-08,BUY,117264.12,8.0,Strong uptrend confirmation,RULES,43918.397537192315,0.5163233027876726,103239.11740461484,61.80537673172996,566.1542857142849,BULLISH,3513.4718029753853,0.029962036153730446,BUY,40404.92573421693,0.5462853389414031,104464.5952740823,7085.958863226512,
2025-08-09,BUY,116586.0,10.0,Bullish momentum with room to grow,RULES,40404.92573421693,0.5462853389414031,104464.5952740823,50.59885496512797,433.2964285714292,BULLISH,4040.492573421693,0.03465675615787224,BUY,36364.43316079523,0.5809420950992753,104094.14826003935,7085.958863226512,
2025-08-11,BUY,119126.35,8.0,Strong uptrend confirmation,RULES,36364.43316079523,0.5809420950992753,104189.11486432522,69.51324046605345,434.87357142857115,BULLISH,2909.1546528636186,0.024420748666131534,BUY,33455.278507931616,0.6053628437654068,105569.94451132478,7085.958863226512,
2025-08-13,BUY,119713.19,8.0,Strong uptrend confirmation,RULES,33455.278507931616,0.6053628437654068,105462.77107346457,63.04123392042287,660.6892857142864,BULLISH,2676.422280634529,0.022356953988399517,BUY,30778.85622729709,0.6277197977538064,105925.19564256008,7085.958863226512,
2025-08-17,SELL,117255.19,10.0,Bearish momentum building,RULES,30778.85622729709,0.6277197977538064,104683.57843699901,44.987658793958396,203.03214285714265,BEARISH,7360.340415238415,0.06277197977538064,SELL,38139.196642535506,0.5649478179784257,104382.26037968123,11368.413655735218,4282.454792508705
