Timestamp,Strategy,Action,Decision_Source,Price,Quantity,Amount,Position_Size,Reason,Improvement,AI_Enabled,Cash_Before,Cash_After,BTC_Before,BTC_After,Portfolio_Value_Before,Portfolio_Value_After,Profit
2025-06-07 08:00:00,GemmaLearner,BUY,RULES,104746.44,0.04773431918068051,5000.0,5.0,EMA12>EMA26,None,True,100000.0,95000.0,0.0,0.04773431918068051,100000.0,100000.0,
2025-06-08 08:00:00,GemmaLearner,BUY,RULES,105373.81,0.045077614636881785,4750.0,5.0,EMA12>EMA26,None,True,95000.0,90250.0,0.04773431918068051,0.0928119338175623,100029.94707982439,100029.94707982439,
2025-06-09 08:00:00,GemmaLearner,BUY,RULES,105926.39,0.04260033783838003,4512.5,5.0,EMA12>EMA26,None,False,90250.0,85737.5,0.09281193381756231,0.13541227165594233,100081.2330982133,100081.2330982133,
2025-06-10 08:00:00,GemmaLearner,BUY,RULES,109082.65,0.07859865890680141,8573.75,10.0,SMA50>SMA200 & MACD>0 & RSI>55,None,True,85737.5,77163.75,0.13541227165594233,0.21401093056274373,100508.62943475008,100508.62943475008,
2025-06-11 08:00:00,GemmaLearner,BUY,RULES,109576.02,0.07042028903769273,7716.375,10.0,SMA50>SMA200 & MACD>0 & RSI>55,None,True,77163.75,69447.375,0.21401093056274376,0.2844312196004365,100614.21600756183,100614.21600756183,
2025-06-12 08:00:00,GemmaLearner,SELL,RULES,107731.67,0.014221560980021825,1532.112514384588,5.0,EMA12<EMA26,None,True,69447.375,70979.48751438459,0.2844312196004365,0.2702096586204147,100089.62528769176,100089.62528769176,4.48126438458785
2025-06-13 08:00:00,GemmaLearner,SELL,RULES,104739.45,0.013510482931020735,1415.0805514294998,5.0,EMA12<EMA26,None,True,70979.48751438459,72394.56806581409,0.2702096586204147,0.25669917568939393,99281.09854297458,99281.09854297458,-36.16913607050042
2025-06-14 08:00:00,GemmaLearner,SELL,RULES,105095.03,0.012834958784469698,1348.8903785026064,5.0,EMA12<EMA26,None,True,72394.56806581409,73743.4584443167,0.25669917568939393,0.24386421690492424,99372.37563586622,99372.37563586622,-29.796824622393828
2025-06-15 08:00:00,GemmaLearner,BUY,RULES,105197.19,0.03505010848878982,3687.172922215835,5.0,EMA12>EMA26,None,False,73743.4584443167,70056.28552210086,0.24386421690492427,0.2789143253937141,99397.28880426523,99397.28880426523,
2025-06-16 08:00:00,GemmaLearner,BUY,RULES,107180.0,0.03268160362105844,3502.8142761050435,5.0,EMA12>EMA26,None,True,70056.28552210086,66553.47124599582,0.2789143253937141,0.3115959290147725,99950.32291779915,99950.32291779915,
2025-06-17 08:00:00,GemmaLearner,BUY,RULES,106568.06,0.031225805952550804,3327.6735622997912,5.0,EMA12>EMA26,None,False,66553.47124599582,63225.79768369603,0.3115959290147725,0.3428217349673233,99759.64490499784,99759.64490499784,
2025-06-18 08:00:00,GemmaLearner,SELL,RULES,104949.9,0.017141086748366167,1798.9553401323544,5.0,EMA12<EMA26,None,True,63225.79768369603,65024.75302382839,0.3428217349673233,0.32568064821895715,99204.90448634312,99204.90448634312,-36.680540867429414
2025-06-19 08:00:00,GemmaLearner,BUY,RULES,104746.12,0.031039217979543485,3251.2376511914194,5.0,RSI>60 & price>SMA20,None,False,65024.75302382839,61773.51537263697,0.32568064821895715,0.35671986619850066,99138.53728384906,99138.53728384906,
2025-06-20 08:00:00,GemmaLearner,BUY,RULES,105959.68,0.02914953847191544,3088.6757686318488,5.0,EMA12>EMA26,None,True,61773.51537263696,58684.839604005116,0.35671986619850066,0.3858694046704161,99571.4382446729,99571.4382446729,
2025-06-21 08:00:00,GemmaLearner,BUY,RULES,103826.03,0.028261140103307967,2934.241980200256,5.0,RSI>60 & price>SMA20,None,True,58684.839604005116,55750.59762380486,0.3858694046704161,0.4141305447737241,98748.12798939788,98748.12798939788,
2025-06-22 08:00:00,GemmaLearner,SELL,RULES,102712.34,0.020706527238686205,2126.8158659591986,5.0,EMA12<EMA26,None,True,55750.59762380486,57877.41348976406,0.4141305447737241,0.39342401753503786,98286.91494298883,98286.91494298883,-80.74599099177235
2025-06-23 08:00:00,GemmaLearner,BUY,RULES,101881.37,0.028404316456366884,2893.8706744882033,5.0,EMA12>EMA26,None,True,57877.41348976406,54983.54281527586,0.39342401753503786,0.42182833399140474,97959.99138713774,97959.99138713774,
2025-06-24 08:00:00,GemmaLearner,BUY,RULES,104996.77,0.026183444888483648,2749.1771407637934,5.0,EMA12>EMA26,None,True,54983.54281527586,52234.36567451207,0.42182833399140474,0.4480117788798884,99274.15537885457,99274.15537885457,
